Ngày,Mua vào,Bán ra
9/4/2021,56.75,57.45
9/8/2021,56.5,57.2
9/9/2021,56.55,57.25
9/10/2021,56.6,57.3
9/11/2021,56.6,57.3
9/14/2021,56.55,57.25
9/15/2021,56.65,57.35
9/16/2021,56.5,57.2
9/17/2021,55.9,56.6
9/20/2021,56.15,56.8
9/21/2021,56.45,57.1
9/22/2021,56.5,57.15
9/23/2021,56.7,57.35
9/24/2021,56.4,57.05
9/25/2021,56.35,57
9/27/2021,56.35,57
9/28/2021,56.45,57.1
9/29/2021,56.35,56.95
9/30/2021,56.25,56.85
10/1/2021,56.6,57.2
10/2/2021,56.55,57.15
10/4/2021,56.65,57.35
10/5/2021,56.75,57.45
10/6/2021,56.7,57.4
10/7/2021,56.8,57.5
10/8/2021,57.1,57.8
10/9/2021,57.1,57.8
10/11/2021,57.25,57.95
10/12/2021,57.3,58
10/13/2021,57.4,58.1
10/14/2021,57.55,58.25
10/15/2021,57.3,58
10/16/2021,57.1,57.8
10/18/2021,57.05,57.75
10/19/2021,57.15,57.85
10/20/2021,57.25,57.95
10/21/2021,57.55,58.25
10/22/2021,57.4,58.1
10/23/2021,57.55,58.25
10/25/2021,57.55,58.25
10/26/2021,57.7,58.4
10/27/2021,57.85,58.55
10/28/2021,58,58.7
10/29/2021,57.75,58.45
10/30/2021,57.75,58.45
11/1/2021,57.75,58.45
11/2/2021,57.65,58.35
11/3/2021,57.8,58.5
11/4/2021,57.8,58.5
11/5/2021,57.95,58.65
11/6/2021,58.1,58.8
11/8/2021,58.2,58.9
11/9/2021,58.4,59.1
11/10/2021,58.7,59.4
11/11/2021,58.95,59.65
11/12/2021,59.5,60.2
11/13/2021,60.05,60.75
11/15/2021,59.95,60.65
11/16/2021,60.25,60.95
11/17/2021,60.8,61.55
11/18/2021,61.3,62.05
11/19/2021,61.05,61.8
11/20/2021,59.4,60.5
11/22/2021,59.5,60.2
11/23/2021,58.6,59.45
11/24/2021,59.15,59.95
11/25/2021,59.45,60.15
11/26/2021,59.55,60.25
11/27/2021,60,60.85
11/29/2021,60.2,60.9
11/30/2021,59.75,60.45
12/1/2021,59.75,60.45
12/2/2021,60.6,60.7
12/3/2021,59.95,60.65
12/4/2021,60.2,61.05
12/5/2021,60.4,61.1
12/6/2021,60.55,61.25
12/7/2021,60.75,61.45
12/8/2021,60.7,61.4
12/9/2021,60.25,60.95
12/10/2021,60.5,61.2
12/11/2021,60.65,61.45
12/13/2021,60.8,61.5
12/14/2021,60.9,61.6
12/15/2021,60.8,61.5
12/16/2021,60.85,61.55
12/17/2021,60.9,61.6
12/18/2021,61,61.7
12/20/2021,60.95,61.65
12/21/2021,60.9,61.6
12/22/2021,60.85,61.55
12/23/2021,61.05,61.75
12/24/2021,60.85,61.55
12/25/2021,60.9,61.6
12/27/2021,60.85,61.55
12/28/2021,60.85,61.55
12/29/2021,60.8,61.5
12/30/2021,60.6,61.3
12/31/2021,60.75,61.45
1/3/2022,61.05,61.8
1/4/2022,60.8,61.5
1/5/2022,60.9,61.6
1/6/2022,60.95,61.65
1/7/2022,60.72,61.42
1/8/2022,60.95,61.7
1/10/2022,60.95,61.65
1/11/2022,61.02,61.67
1/12/2022,61.05,61.7
1/13/2022,61,61.65
1/14/2022,61.05,61.7
1/15/2022,60.95,61.65
1/17/2022,61.05,61.65
1/18/2022,61.1,61.7
1/19/2022,61.1,61.7
1/20/2022,61.3,61.9
1/21/2022,61.1,61.7
1/22/2022,61.15,61.85
1/24/2022,61.25,61.9
1/25/2022,61.75,62.4
1/26/2022,61.9,62.55
1/27/2022,61.7,62.3
1/28/2022,61.9,62.6
2/7/2022,62.45,63.15
2/8/2022,62.8,63.45
2/9/2022,61.85,62.6
2/10/2022,61.35,62.15
2/11/2022,61.05,61.75
2/12/2022,62,62.8
2/14/2022,62.05,62.75
2/15/2022,62.5,63.2
2/16/2022,62.15,62.85
2/17/2022,62.5,63.1
2/18/2022,62.8,63.5
2/19/2022,62.5,63.2
2/21/2022,62.6,63.2
2/22/2022,62.95,63.55
2/23/2022,63.15,63.75
2/24/2022,63.55,64.25
2/25/2022,65.5,66.4
2/26/2022,64,65.4
2/28/2022,65.1,66
3/1/2022,65.25,66
3/2/2022,66,66.8
3/3/2022,66.55,67.3
3/4/2022,66.8,67.55
3/5/2022,67.25,68.4
3/6/2022,68.1,68.9
3/7/2022,68.9,70.1
3/8/2022,71.8,73.4
3/9/2022,70.2,72
3/10/2022,66.3,68.1
3/11/2022,67.9,69.7
3/12/2022,68.4,70.2
3/14/2022,68,69.8
3/15/2022,67.2,68.4
3/16/2022,67.3,68.6
3/17/2022,67.2,68.4
3/18/2022,67.8,68.8
3/19/2022,67.7,68.9
3/21/2022,67.9,68.9
3/22/2022,67.95,68.85
3/23/2022,67.8,68.5
3/24/2022,68.1,68.8
3/25/2022,68.4,69.1
3/26/2022,68.6,69.35
3/28/2022,68.9,69.6
3/29/2022,68.65,69.35
3/30/2022,68.5,69.2
3/31/2022,68.15,68.85
4/1/2022,68.3,69
4/2/2022,68.3,69.05
4/4/2022,68.25,68.95
4/5/2022,68.3,68.95
4/6/2022,68.1,68.75
4/7/2022,68.1,68.75
4/8/2022,68.25,68.9
4/9/2022,68.6,69.4
4/12/2022,68.9,69.55
4/13/2022,69.05,69.65
4/14/2022,69.25,69.85
4/15/2022,69,69.6
4/16/2022,69.15,69.8
4/18/2022,69.35,69.95
4/19/2022,69.75,70.55
4/20/2022,69.55,70.25
4/21/2022,69.55,70.25
4/22/2022,69.85,70.55
4/23/2022,69.6,70.4
4/25/2022,69.5,70.2
4/26/2022,69.4,70.1
4/27/2022,69.4,70.1
4/28/2022,69.3,70
4/29/2022,69.55,70.15
5/3/2022,69.2,69.95
5/4/2022,69.25,69.95
5/5/2022,69.65,70.35
5/6/2022,69.5,70.2
5/9/2022,69.7,70.4
5/10/2022,69.55,70.3
5/11/2022,69.25,69.95
5/12/2022,69.65,70.25
5/13/2022,69.55,70.15
5/14/2022,68.7,69.7
5/16/2022,68.5,69.5
5/17/2022,68.25,69.25
5/18/2022,68.25,69.25
5/19/2022,68.25,69.25
5/20/2022,68.55,69.45
5/21/2022,68.9,69.8
5/23/2022,68.95,69.85
5/24/2022,69,69.9
5/25/2022,69,69.9
5/26/2022,68,69
5/27/2022,68.4,69.4
5/28/2022,68.5,69.5
5/30/2022,68.3,69.3
5/31/2022,68.2,69.2
6/1/2022,68.2,69.2
6/2/2022,68.55,69.45
6/3/2022,68.8,69.7
6/4/2022,68.75,69.65
6/6/2022,68.65,69.55
6/7/2022,68.55,69.45
6/8/2022,68.85,69.75
6/9/2022,68.8,69.7
6/10/2022,68.7,69.6
6/11/2022,68.75,69.65
6/13/2022,68.45,69.35
6/14/2022,67.55,68.35
6/15/2022,67.5,68.3
6/16/2022,67.75,68.55
6/17/2022,67.95,68.75
6/18/2022,67.85,68.65
6/20/2022,67.9,68.7
6/21/2022,67.95,68.75
6/22/2022,67.85,68.65
6/23/2022,67.85,68.65
6/24/2022,67.8,68.6
6/25/2022,67.85,68.65
7/7/2022,67.65,68.25
7/8/2022,67.9,68.5
7/9/2022,67.95,68.55
7/11/2022,67.9,68.5
7/12/2022,67.6,68.2
7/13/2022,67.6,68.2
7/14/2022,67.65,68.25
7/15/2022,67.55,68.15
7/16/2022,67.35,67.95
7/18/2022,67.15,67.75
7/19/2022,62,64.45
7/20/2022,63.3,65.3
7/21/2022,63.3,65.3
7/22/2022,64.3,66.3
7/23/2022,64.9,66.4
7/25/2022,64.7,66.2
7/26/2022,65.3,66.3
7/27/2022,65.1,66.1
7/28/2022,65.3,66.3
7/29/2022,65.2,66.2
7/30/2022,65.8,66.8
8/1/2022,66.3,67.3
8/2/2022,67.4,68.4
8/3/2022,67.2,68.2
8/4/2022,66,67
8/5/2022,66.9,67.9
8/6/2022,66.3,67.3
8/8/2022,66.3,67.3
8/9/2022,66.4,67.4
8/10/2022,66.1,67.1
8/11/2022,65.9,66.9
8/12/2022,66.2,67.2
8/13/2022,66.5,67.5
8/15/2022,66.4,67.4
8/16/2022,65.9,66.9
8/17/2022,66,67
8/18/2022,66.1,67.1
8/19/2022,66.1,67.1
8/20/2022,66.2,67.2
8/22/2022,66.1,67.1
8/23/2022,66,67
8/24/2022,66.1,67.1
8/25/2022,66.3,67.1
8/26/2022,66,66.8
8/27/2022,66.1,66.9
8/29/2022,65.9,66.7
8/30/2022,65.9,66.7
8/31/2022,65.8,66.6
9/1/2022,65.85,66.65
9/3/2022,65.7,66.7
9/5/2022,65.85,66.65
9/6/2022,66,66.8
9/7/2022,65.9,66.7
9/8/2022,66.2,67
9/9/2022,66.1,66.9
9/10/2022,66.15,66.95
9/12/2022,66.1,66.9
9/13/2022,66.2,67
9/14/2022,66.05,66.85
9/15/2022,66.05,66.85
9/16/2022,65.7,66.5
9/17/2022,65.85,66.65
9/19/2022,65.8,66.6
9/20/2022,65.8,66.6
9/21/2022,65.85,66.65
9/22/2022,65.85,66.65
9/23/2022,65.85,66.65
9/24/2022,65.75,66.55
9/26/2022,65.65,66.45
9/27/2022,65.55,66.35
9/28/2022,64.2,65.2
9/29/2022,64.7,65.7
9/30/2022,64.75,65.75
10/1/2022,65.2,66.2
10/3/2022,65.5,66.5
10/4/2022,65.2,66.2
10/5/2022,65.45,66.45
10/6/2022,65.3,66.3
10/7/2022,64.7,65.7
10/8/2022,64.8,65.8
10/10/2022,65.6,66.6
10/11/2022,66.1,67.1
10/12/2022,66,67
10/13/2022,65.9,66.9
10/14/2022,66,67
10/15/2022,66.2,67.2
10/17/2022,66,67
10/18/2022,65.9,66.9
10/19/2022,66.2,67.2
10/20/2022,66,67
10/21/2022,66.3,67.3
10/22/2022,66.3,67.3
10/24/2022,66.5,67.5
10/25/2022,66.3,67.3
10/26/2022,66.3,67.3
10/27/2022,66.3,67.3
10/28/2022,66.2,67.2
10/29/2022,66,67
10/31/2022,66.1,67.1
11/1/2022,66,67
11/2/2022,66.15,67.15
11/3/2022,66.1,67.1
11/4/2022,66.2,67.2
11/5/2022,66.7,67.7
11/7/2022,66.5,67.5
11/8/2022,66.2,67.2
11/9/2022,66.5,67.5
11/10/2022,66.5,67.5
11/11/2022,66.6,67.6
11/12/2022,66.6,67.6
11/14/2022,66.5,67.5
11/15/2022,66.5,67.5
11/16/2022,66.7,67.7
11/17/2022,66.7,67.7
11/18/2022,66.7,67.7
11/19/2022,66.5,67.5
11/21/2022,66.6,67.6
11/22/2022,66.45,67.45
11/23/2022,66.4,67.4
11/24/2022,66.6,67.6
11/25/2022,66.6,67.6
11/26/2022,66.7,67.7
11/28/2022,66.6,67.4
11/29/2022,66.65,67.45
11/30/2022,66.4,67.2
12/1/2022,66.65,67.45
12/2/2022,66.6,67.4
12/3/2022,66.15,66.95
12/5/2022,66.15,66.95
12/6/2022,66.25,67.05
12/7/2022,66.35,67.15
12/8/2022,66.25,67.05
12/9/2022,66.6,67.4
12/10/2022,66.3,67.1
12/12/2022,66.45,67.25
12/13/2022,66.35,67.15
12/14/2022,66.55,67.35
12/15/2022,66.1,66.9
12/16/2022,66,66.8
12/17/2022,66.1,66.9
12/19/2022,66.2,67
12/20/2022,66.2,67
12/21/2022,66.4,67.2
12/22/2022,66.15,66.95
12/23/2022,66.1,66.9
12/24/2022,66.1,66.9
12/26/2022,66.2,67
12/27/2022,66.1,66.9
12/28/2022,65.9,66.7
12/29/2022,65.9,66.7
12/30/2022,65.9,66.7
12/31/2022,65.9,66.7
1/3/2023,66.2,67
1/4/2023,66.3,67.1
1/5/2023,66.45,67.25
1/6/2023,66.1,66.9
1/7/2023,66.45,67.25
1/9/2023,66.45,67.25
1/10/2023,66,66.8
1/11/2023,66.1,66.9
1/12/2023,66.15,66.95
1/13/2023,66.2,67
1/14/2023,66.4,67.4
1/16/2023,66.4,67.4
1/17/2023,66.35,67.15
1/18/2023,66.7,67.5
1/19/2023,66.7,67.7
1/27/2023,67.2,68.2
1/28/2023,67.6,68.6
1/29/2023,67.3,68.3
1/30/2023,67.2,68.2
1/31/2023,66.3,67.7
2/1/2023,66.5,67.3
2/2/2023,66.6,67.4
2/3/2023,66.7,67.5
2/4/2023,66.2,67.2
2/6/2023,66.5,67.3
2/7/2023,66.4,67.2
2/8/2023,66.55,67.35
2/9/2023,66.55,67.35
2/10/2023,66.55,67.35
2/11/2023,66.55,67.35
2/13/2023,66.6,67.4
2/14/2023,66.4,67.2
2/15/2023,66.5,67.3
2/16/2023,66.4,67.2
2/17/2023,66.35,67.15
2/18/2023,66.35,67.15
2/20/2023,66.3,67.1
2/21/2023,66.3,67.1
2/22/2023,66.3,67.1
2/23/2023,66.3,67.1
2/24/2023,66.25,66.95
2/25/2023,66.1,66.9
2/27/2023,66.1,66.8
2/28/2023,66.15,66.85
3/2/2023,66.15,66.85
3/3/2023,66.15,66.85
3/4/2023,66.2,66.9
3/6/2023,66.2,66.9
3/7/2023,66.05,66.75
3/8/2023,66,66.7
3/9/2023,65.85,66.55
3/10/2023,65.85,66.55
3/11/2023,65.85,66.55
3/13/2023,66,66.8
3/14/2023,66.35,67.05
3/15/2023,66.15,66.85
3/16/2023,65.95,66.65
3/17/2023,66.45,67.15
3/18/2023,66.85,67.75
3/20/2023,66.6,67.5
3/21/2023,66.75,67.45
3/22/2023,66.6,67.3
3/23/2023,66.45,67.15
3/24/2023,66.65,67.35
